Average_Grade,Study_Efficiency,Parent_Education,Student_Wellbeing
5.5,0.4,4.0,3.3333333333333335
10.0,0.6666666666666666,1.0,3.6666666666666665
12.5,0.2857142857142857,1.0,3.3333333333333335
14.0,3.0,3.0,3.3333333333333335
12.0,2.0,3.0,4.0
12.0,0.2857142857142857,3.5,4.666666666666667
12.5,2.0,2.0,3.6666666666666665
11.5,0.6666666666666666,4.0,2.0
15.5,2.0,2.5,2.3333333333333335
12.0,2.0,3.5,5.0
14.0,0.6666666666666666,4.0,2.6666666666666665
11.0,3.0,1.5,3.6666666666666665
12.5,1.0,4.0,4.0
12.0,2.0,3.5,4.0
14.0,3.0,2.0,4.0
17.0,0.14285714285714285,4.0,3.3333333333333335
13.0,0.2727272727272727,4.0,2.3333333333333335
13.5,0.6666666666666666,3.0,4.0
8.0,0.3333333333333333,2.5,5.0
12.0,0.14285714285714285,3.5,3.0
12.5,2.0,3.5,3.0
11.5,1.0,4.0,4.666666666666667
12.5,2.0,3.0,4.666666666666667
10.0,0.6666666666666666,2.0,4.666666666666667
10.5,1.0,3.0,4.0
10.5,0.14285714285714285,2.0,2.6666666666666665
11.5,0.1111111111111111,2.0,3.6666666666666665
11.0,1.0,3.0,1.6666666666666667
12.0,0.6666666666666666,3.5,4.333333333333333
11.5,0.4,4.0,4.333333333333333
10.5,2.0,4.0,4.666666666666667
15.0,0.6666666666666666,4.0,4.0
13.5,2.0,3.5,4.666666666666667
12.5,2.0,3.0,3.3333333333333335
12.0,0.2,2.5,4.666666666666667
11.0,0.2,2.5,4.333333333333333
14.0,3.0,3.5,4.333333333333333
13.0,0.6,4.0,3.6666666666666665
11.5,1.0,3.5,4.0
13.5,0.1111111111111111,2.0,3.0
11.0,0.11764705882352941,2.0,3.0
10.5,0.1111111111111111,4.0,4.666666666666667
14.5,2.0,4.0,4.0
9.5,1.0,2.0,3.3333333333333335
10.5,0.13333333333333333,2.0,4.0
10.5,0.4,3.5,4.0
12.5,0.2857142857142857,3.0,2.6666666666666665
17.0,1.3333333333333333,3.5,2.6666666666666665
11.5,0.4,3.0,4.0
12.5,0.6666666666666666,4.0,3.6666666666666665
13.5,2.0,2.0,3.6666666666666665
15.0,2.0,3.0,4.0
9.5,0.2,3.0,5.0
12.5,1.0,4.0,3.6666666666666665
12.5,1.0,3.0,3.0
12.5,0.6666666666666666,1.5,3.3333333333333335
14.5,2.0,3.5,2.6666666666666665
15.0,0.2222222222222222,4.0,3.3333333333333335
13.5,2.0,1.5,4.0
15.5,0.6666666666666666,3.0,3.6666666666666665
16.5,2.0,4.0,3.3333333333333335
10.0,1.0,1.0,5.0
13.0,2.0,1.5,3.0
13.5,3.0,3.5,3.6666666666666665
12.5,2.0,3.5,3.3333333333333335
15.5,0.6666666666666666,3.5,3.3333333333333335
11.5,4.0,4.0,2.3333333333333335
9.5,4.0,2.0,4.0
10.5,2.0,2.0,3.0
15.0,0.5714285714285714,2.0,3.6666666666666665
12.0,1.3333333333333333,2.0,4.0
10.0,4.0,3.0,3.0
12.0,0.6666666666666666,1.0,3.6666666666666665
13.0,1.0,2.0,4.333333333333333
11.0,0.4,3.0,4.0
11.0,2.0,3.5,4.0
11.5,4.0,2.0,2.6666666666666665
13.0,2.0,2.0,3.3333333333333335
9.0,1.0,1.5,4.0
11.5,0.13333333333333333,3.5,3.0
11.0,1.0,2.5,2.6666666666666665
9.5,1.0,2.5,4.333333333333333
11.5,0.4,2.5,4.333333333333333
12.5,0.6666666666666666,2.0,4.0
12.5,0.6666666666666666,1.0,3.6666666666666665
11.5,0.4,4.0,4.333333333333333
12.0,0.2857142857142857,2.0,3.0
15.0,0.6,3.0,3.0
11.0,0.2857142857142857,2.0,3.6666666666666665
9.0,0.2857142857142857,4.0,3.3333333333333335
10.0,1.0,3.0,3.6666666666666665
13.5,0.14285714285714285,3.5,3.3333333333333335
12.5,2.0,2.0,2.6666666666666665
13.5,0.6666666666666666,3.0,3.0
11.5,1.3333333333333333,2.0,3.6666666666666665
13.0,0.8,1.0,1.6666666666666667
10.0,0.14285714285714285,3.5,3.3333333333333335
12.5,2.0,1.5,4.0
12.5,0.2,4.0,3.0
12.5,1.0,3.5,3.6666666666666665
9.0,0.07692307692307693,4.0,4.333333333333333
16.0,3.0,4.0,4.0
12.5,0.3333333333333333,4.0,4.333333333333333
10.5,0.11764705882352941,2.5,3.0
16.0,2.0,3.5,3.3333333333333335
10.0,0.36363636363636365,3.0,3.6666666666666665
10.0,0.8,2.0,3.0
13.5,0.6,3.0,4.333333333333333
11.0,0.4444444444444444,4.0,1.6666666666666667
15.0,1.0,4.0,4.333333333333333
13.5,0.2,4.0,4.666666666666667
11.0,0.6,3.0,2.3333333333333335
9.0,0.15384615384615385,2.0,3.0
17.5,0.09090909090909091,3.0,3.6666666666666665
9.5,0.4,1.5,4.666666666666667
15.0,0.2857142857142857,4.0,4.666666666666667
15.5,0.4,4.0,3.3333333333333335
14.0,0.14285714285714285,3.0,4.666666666666667
11.5,0.13333333333333333,2.0,4.0
13.5,0.3333333333333333,3.5,3.6666666666666665
14.0,2.0,1.5,2.0
13.5,0.5714285714285714,2.0,5.0
13.0,0.6666666666666666,3.0,3.6666666666666665
12.5,0.2,4.0,4.0
11.5,2.0,2.0,4.666666666666667
9.0,0.3333333333333333,3.5,5.0
10.5,2.0,3.5,3.0
9.5,2.0,0.5,4.0
14.0,0.1111111111111111,4.0,4.0
12.5,0.6,2.5,2.0
10.5,3.0,3.5,3.6666666666666665
9.5,0.18181818181818182,1.5,4.666666666666667
10.5,0.1111111111111111,1.5,3.3333333333333335
11.5,0.14285714285714285,1.0,3.6666666666666665
12.5,0.3333333333333333,2.0,4.0
14.0,0.07692307692307693,3.5,3.3333333333333335
9.0,0.2,1.5,2.3333333333333335
12.0,0.07692307692307693,2.0,4.333333333333333
11.5,0.6666666666666666,3.5,4.333333333333333
13.5,0.6,4.0,4.0
9.5,0.6666666666666666,3.5,4.666666666666667
13.5,2.0,1.0,3.0
